CONTENT,CLASS
Check out this video on YouTube:﻿,1
Check out this video on YouTube:﻿,1
Love this song !!!!!!,0
"We get it, you came here for the views... ﻿",0
Add me here...https://www.facebook.com/TLouXmusic﻿,1
Best world cup offical song﻿,0
Whose watching this in 2015. If so hi-5﻿,0
Lets party﻿,0
Hey ! Subscribe  to me for the peace in the world ! ♥﻿,1
good party﻿,0
"Listen...Check out Andrew Guasch - Crazy, Sick Flow...I&#39;m dope....that&#39;s all there is too it. If you like it Subscribe, if not, Ill be with Aftermath of TDE Soon enough.  One Love,  Peace.",1
Great.This is a song﻿,0
SEE SOME MORE SONG OPEN GOOGLE AND TYPE Shakira GuruOfMovie﻿,1
"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the war illustrate the exclusive space? The mountain refers the helpless death. The tax reviews the special music.",1
Check out this video on YouTube:﻿,1
In the beginning she was scared off everything and next thing you know she  is out in a leopard bikini!﻿,0
Nice﻿,0
look at my channel i make minecraft pe lets play ﻿,1
Hey guys plz check out my youtube channel to c funny 2 girls 1 cup reaction  thanks and plz subscribe! Thanks﻿,1
Subscribe to my channel !﻿,1
I hate videos like these with those poor animals.﻿,0
I love this shit but I disliked it because it's sucks﻿,0
I am now going to voyage to the first comment...      Tell my family I loved them. 😢﻿,0
Fuck you Eminem﻿,0
░░░░░░░/\░░░░░▄▐<br />░░░░░░/     \░░░▄██▄<br />░░░░░/  (o)   \░░░░░▀█▄<br />░░░░/             \░░░░░░▀█▄<br />░░░/__   \   ░▄▄▄▄▄▀▀<br />░░░░▄▄▄██▀▀▀▀<br />░░░█▀▄▄▄█░▀▀       YOU HAVE BEEN SPOOKED BY THE SPOOKINATI<br />░░░▌░▄▄▄▐▌▀▀▀<br />▄░▐░░░▄▄░█░▀▀    SHARE THIS TO 666 PEOPLE TO BE UNSPOOKED <br />▀█▌░░░▄░▀█▀░▀ <br />░░░░░░░▄▄▐▌▄▄<br />░░░░░░░▀███▀█░▄<br />░░░░░░▐▌▀▄▀▄▀▐▄<br />░░░░░░▐▀░░░░░░▐▌<br />░░░░░░█░░░░░░░░█<br />░░░░░▐▌░░░░░░░░░█<br />░░░░░█░░░░░░░░░░▐▌﻿,1
"yo I know nobody will probably even read this..  But I’m gonna type it any way because i hope at least one person will  i&#39;m a rapper with a dream. I know there&#39;s like 200k of those in this world  but please check out my music and subscribe? if you want.? thanks,  I would love nothing more than to have a decent following on youtube..  if anyone? reading this could press the &quot;THUMBS UP&quot; other people will see it  just a simple button press? could make my dream come true =) Thank You",1
Like this comment for no reason﻿,1
I really like this song.﻿,0
I love dis song!! 3,0
